taxonID,parentTaxonID,scientificName
SH379501.07FU,Mortierella_horticola,SH379501.07FU
Melampsoraceae,Pucciniales,Melampsoraceae
Melampsora,Melampsoraceae,Melampsora
Melampsora_epitea,Melampsora,Melampsora_epitea
SH196328.07FU,Melampsora_epitea,SH196328.07FU
SH468480.07FU,Helotiales_sp,SH468480.07FU
SH497348.07FU,Fungi_sp,SH497348.07FU
SH222241.07FU,Archaeorhizomyces_sp,SH222241.07FU
Pleosporales_fam_Incertae_sedis,Pleosporales,Pleosporales_fam_Incertae_sedis
Phoma,Pleosporales_fam_Incertae_sedis,Phoma
Phoma_haematocycla,Phoma,Phoma_haematocycla
SH182990.07FU,Phoma_haematocycla,SH182990.07FU
SH212098.07FU,Cortinarius_sp,SH212098.07FU
SH208582.07FU,Chaetothyriales_sp,SH208582.07FU
Helotiales_fam_Incertae_sedis,Helotiales,Helotiales_fam_Incertae_sedis
Tetracladium,Helotiales_fam_Incertae_sedis,Tetracladium
Tetracladium_sp,Tetracladium,Tetracladium_sp
SH211298.07FU,Tetracladium_sp,SH211298.07FU
Mucoromycotina_cls_Incertae_sedis,Zygomycota,Mucoromycotina_cls_Incertae_sedis
Mucorales,Mucoromycotina_cls_Incertae_sedis,Mucorales
Mucoraceae,Mucorales,Mucoraceae
Mucor,Mucoraceae,Mucor
Mucor_moelleri,Mucor,Mucor_moelleri
SH188374.07FU,Mucor_moelleri,SH188374.07FU
Mortierella_macrocystis,Mortierella,Mortierella_macrocystis
SH187863.07FU,Mortierella_macrocystis,SH187863.07FU
unidentified,Tremellomycetes,unidentified
Tremellomycetes_sp,unidentified,Tremellomycetes_sp
SH495992.07FU,Tremellomycetes_sp,SH495992.07FU
Thelephora_castanea,Thelephora,Thelephora_castanea
SH184517.07FU,Thelephora_castanea,SH184517.07FU
Umbelopsidaceae,Mucorales,Umbelopsidaceae
Umbelopsis,Umbelopsidaceae,Umbelopsis
Umbelopsis_sp,Umbelopsis,Umbelopsis_sp
SH196093.07FU,Umbelopsis_sp,SH196093.07FU
Entolomataceae,Agaricales,Entolomataceae
Entoloma,Entolomataceae,Entoloma
Entoloma_minutisporum,Entoloma,Entoloma_minutisporum
SH221918.07FU,Entoloma_minutisporum,SH221918.07FU
SH203823.07FU,Archaeorhizomyces_sp,SH203823.07FU
SH001791.07FU,Chaetothyriales_sp,SH001791.07FU
Hygrocybe_ingrata,Hygrocybe,Hygrocybe_ingrata
SH193313.07FU,Hygrocybe_ingrata,SH193313.07FU
SH222639.07FU,Cortinarius_sp,SH222639.07FU
Auriculariales,Agaricomycetes,Auriculariales
unidentified,Auriculariales,unidentified
Auriculariales_sp,unidentified,Auriculariales_sp
SH213817.07FU,Auriculariales_sp,SH213817.07FU
Mycena_galopus,Mycena,Mycena_galopus
